,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91
Hartlepool,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,6,7,11,12,12,15,17,23,23,29,33,36,49,55,64,64,69,69,74,75,79,79,81,84,89,95,98,113,131,149,159,165,165,167,180,192,197,197,201,210,216,226,230,230,231,231,234,245,281,295,295,295,295,304,319,319,320,322,322,321,321,322,323,327,330,330,329,329,331,336,338,339
Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,9,9,17,19,26,33,44,59,74,92,111,126,151,169,196,213,235,237,258,274,291,302,325,346,354,367,394,407,413,427,451,472,481,496,509,509,541,554,559,566,582,588,589,600,615,619,624,626,628,630,631,632,633,634,634,638,645,652,656,659,665,667,668,670,673,676,676,676,677,678,678,679,680,683
Redcar and Cleveland,0,0,0,0,0,1,1,0,1,1,1,2,3,3,3,7,10,10,13,15,25,34,43,51,55,64,75,84,100,112,119,128,139,140,149,157,173,184,195,202,206,212,219,223,229,239,259,269,278,294,297,297,311,317,320,330,330,333,337,345,356,359,366,368,372,376,377,381,386,386,386,389,391,399,401,403,404,406,410,413,415,419,419,422,423,423,426,426,427,427
Stockton-on-Tees,0,0,2,2,2,2,2,2,3,6,9,9,10,11,12,12,14,16,24,29,34,43,47,60,70,77,81,108,117,123,143,152,173,177,189,192,201,209,217,225,230,233,238,241,249,280,303,320,325,328,330,334,343,355,362,365,367,374,380,409,433,435,435,436,448,466,487,504,502,502,502,524,536,548,556,560,561,562,563,566,567,590,595,595,595,595,602,611,611,614
Darlington,0,0,0,0,0,2,2,2,1,2,2,2,3,3,3,3,4,5,11,14,15,16,23,24,30,32,32,45,52,55,77,95,109,120,130,130,143,151,157,169,169,178,187,189,203,208,218,223,232,239,244,253,269,281,287,297,301,303,306,319,323,326,326,330,333,340,345,350,351,351,352,354,354,358,362,366,368,368,372,375,376,382,386,389,389,391,391,393,393,395
Halton,0,0,0,0,0,0,0,0,3,4,4,5,7,7,7,8,8,8,10,12,16,19,25,32,41,51,61,75,95,107,127,148,159,164,183,194,207,215,227,230,235,256,263,267,277,283,293,299,299,301,308,309,312,317,325,329,333,333,335,338,341,343,347,347,349,351,353,357,359,361,369,374,377,380,384,387,387,391,392,394,394,395,400,399,405,405,408,408,407,408
Warrington,0,0,1,1,1,1,1,1,3,4,4,4,4,4,7,8,9,10,15,19,21,22,32,40,65,82,97,122,138,162,182,211,241,259,301,326,343,363,372,393,408,437,446,460,472,497,516,533,550,558,575,578,594,603,626,635,646,649,650,658,664,677,682,683,687,688,693,703,712,718,722,732,732,738,745,748,751,758,762,763,764,762,765,770,772,772,776,776,780,781
Blackburn with Darwen,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,6,7,10,12,14,20,25,37,43,52,63,71,86,92,95,106,124,139,152,164,173,188,204,213,222,231,242,248,256,265,271,281,289,293,301,306,309,321,331,337,338,339,345,349,357,364,367,370,372,375,379,380,384,386,391,394,396,400,402,406,407,407,408,408,410,410,410,411,411,413,413,416,416
Blackpool,0,0,0,2,2,1,3,2,3,4,3,5,5,6,6,8,8,8,9,10,10,18,18,27,28,41,50,66,72,85,94,98,108,119,131,149,162,174,190,198,209,224,245,269,294,311,333,350,353,377,388,413,427,445,452,465,469,478,483,489,493,502,503,508,517,522,530,535,537,544,547,551,554,559,567,590,602,609,620,621,623,630,636,640,643,649,648,654,654,659
"Kingston upon Hull, City of",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,4,5,5,9,11,11,14,18,21,28,31,38,38,58,74,85,97,112,135,135,150,175,201,225,241,258,259,303,320,342,355,378,396,396,422,428,440,462,469,475,509,534,552,569,576,587,593,593,616,624,631,636,646,646,646,665,674,682,682,689,695,701,715,719,723,726,727,734,734,735,744,748,750
